Name, Key,Constituency Office Expenses(View constituency office expenses breakdown),Other Expenses(View other expenses breakdown),Allowances(View allowances breakdown),Staff cost(View staff costs breakdown),Total Expenditure
"Kelly, Gerry",1,"£14,355.60",£0.00,£629.13,"£46,239.07","£61,223.80"
"Kimmins, Liz",1,"£13,908.75",£0.00,"£4,858.26","£34,427.17","£53,194.18"
"Kingston, Brian",1,"£18,399.41",£0.00,£779.13,"£49,272.97","£68,451.51"
"Little Pengelly, Mary",1,"£13,595.44",£0.00,"£2,034.59","£43,132.38","£58,762.41"
"Long, Naomi",1,"£15,763.01",£0.00,£505.17,"£53,534.85","£69,803.03"
"Lunn, Trevor",4,£0.00,£0.00,£0.00,£0.00,£0.00
"Lyons, Gordon",1,"£10,464.21",£0.00,"£2,179.17","£50,504.88","£63,148.26"
"Lyttle, Chris",4,£0.00,£0.00,£0.00,£0.00,£0.00
"Mallon, Nichola",4,£0.00,£0.00,£0.00,£0.00,£0.00
"Maskey, Alex",4,£0.00,£0.00,£0.00,£0.00,£0.00
"Mason, Cathy",1,"£21,635.06",£0.00,"£3,666.63","£50,989.20","£76,290.89"
"Mathison, Nick",1,"£15,395.00",£0.00,"£1,695.87","£47,252.97","£64,343.84"
"McAleer, Declan",1,"£12,524.43",£0.00,"£6,645.87","£45,676.19","£64,846.49"
"McAllister, Nuala",1,"£13,482.63",£0.00,£779.13,"£47,560.26","£61,822.02"
"McCrossan, Daniel",1,"£18,067.29",£0.00,"£6,645.87","£49,915.64","£74,628.80"
"McGlone, Patsy",1,"£12,862.99",£0.00,"£2,424.40","£49,915.17","£65,202.56"
"McGrath, Colin",1,"£13,877.58",£0.00,"£3,666.63","£51,639.99","£69,184.20"
"McGuigan, Philip",1,"£12,968.86",£0.00,"£4,491.63","£45,839.06","£63,299.55"
"McHugh, Maolíosa",1,"£4,038.34",£0.00,"£4,645.87","£45,379.77","£54,063.98"
"McIlveen, Michelle",1,"£15,665.25",£0.00,"£1,695.87","£51,097.80","£68,458.92"
"McLaughlin, Sinéad",1,"£17,092.70",£0.00,"£5,637.50","£52,663.30","£75,393.50"
"McNulty, Justin",1,"£20,671.54",£0.00,"£4,858.26","£47,123.98","£72,653.78"
"McReynolds, Peter",1,"£16,763.51",£0.00,£229.13,"£48,301.02","£65,293.66"
"Middleton, Gary",1,"£16,250.51",£0.00,"£5,637.50","£40,796.95","£62,684.96"
"Muir, Andrew",1,"£17,616.19",£0.00,£679.13,"£44,381.46","£62,676.78"
"Mulholland, Sian",3,"£17,974.49",£0.00,"£4,423.57","£12,869.68","£35,267.74"
Murphy Áine,1,"£17,142.06",£0.00,"£6,829.24","£38,514.24","£62,485.54"
"Murphy, Conor",1,"£18,409.78",£0.00,"£4,537.00","£49,602.54","£72,549.32"
"Nesbitt, Mike",1,"£16,910.14",£0.00,"£1,695.87","£48,382.50","£66,988.51"
"Newton, Robin",4,£0.00,£0.00,£0.00,£0.00,£0.00
"Ni Chuilin, Caral",1,"£17,273.33",£0.00,£779.13,"£31,323.23","£49,375.69"
"Nichol, Kate",1,"£20,178.59",£0.00,£779.13,"£46,874.41","£67,832.13"
"O'Dowd, John",1,"£15,438.30",£0.00,"£2,960.78","£49,288.74","£67,687.82"
"O'Lynn, Patricia",2,£314.54,"£3,898.47",£0.00,"£14,348.64","£18,561.65"
"O'Neill, Michelle",1,"£10,648.47",£0.00,"£6,970.86","£40,152.72","£57,772.05"
"O'Toole, Matthew",1,"£15,819.21",£0.00,£779.13,"£52,142.62","£68,740.96"
"Poots, Edwin",1,"£16,112.05",£0.00,£779.13,"£51,303.79","£68,194.97"
"Reilly, Aisling",1,"£16,653.43",£0.00,£734.30,"£49,288.74","£66,676.47"
"Robinson, Alan",1,"£8,762.25",£0.00,"£1,766.63","£21,091.96","£31,620.84"
"Robinson, George",4,£0.00,£0.00,£0.00,£0.00,£0.00
"Rogan, Emma",4,£0.00,£0.00,£0.00,£0.00,£0.00
"Sheehan, Pat",1,"£7,204.87",£0.00,£779.13,"£49,288.74","£57,272.74"
"Sheerin, Emma",1,"£13,385.01",£0.00,"£4,858.26","£46,167.33","£64,410.60"
"Stalford, Christopher",4,£0.00,£0.00,£0.00,£0.00,£0.00
"Stewart, John",1,"£12,173.20",£0.00,"£3,437.50","£45,381.46","£60,992.16"
"Storey, Mervyn",4,£0.00,£0.00,£0.00,£0.00,£0.00
"Sugden, Claire",1,"£13,297.92",£0.00,£916.63,"£51,003.80","£65,218.35"
"Swann, Robin",1,"£16,866.09",£0.00,"£4,166.63","£47,907.09","£68,939.81"
"Tennyson, Eoin",1,"£16,046.21",£0.00,"£3,162.50","£47,960.43","£67,169.14"
"Weir, Peter",4,£0.00,£0.00,£0.00,£0.00,£0.00
"Wells, Jim",4,£0.00,£0.00,£0.00,£0.00,£0.00
"Woods, Rachel",4,£0.00,£0.00,£0.00,£0.00,£0.00
Total,,"£1,368,071.47","£41,509.38","£303,328.52","£4,231,432.24","£5,944,341.61"
