Key,Name,Constituency Office Expenses 1 (View breakdown),Other Expenses 2 (View breakdown),Allowances 3 (View breakdown),Staff costs 4 (View breakdown),Total Expenditure
1,"Nesbitt, Mike","£14,838.16",£0.00,"£1,850.04","£70,873.77","£87,561.97"
1,"Newton, Robin","£9,020.65",£0.00,£849.96,"£43,290.97","£53,161.58"
1,"Ni Chuilin, Caral","£12,113.24",£0.00,£486.28,"£72,644.05","£85,243.57"
1,"O'Dowd, John","£14,819.09",£0.00,"£3,450.00","£80,425.89","£98,694.98"
4,O Muilleoir Mairtin,£0.00,£0.00,-£162.00,£0.00,-£162.00
1,"O'Neill, Michelle","£8,527.87",£0.00,£999.96,"£81,976.76","£91,504.59"
1,O'Toole Matthew,"£8,628.47",£0.00,£849.96,"£70,003.91","£79,482.34"
1,"Poots, Edwin","£13,101.40",£0.00,£897.87,"£83,248.67","£97,247.94"
1,"Robinson, George","£6,925.17",£0.00,"£4,518.96","£81,690.84","£93,134.97"
1,"Rogan, Emma","£12,708.00",£0.00,"£3,999.96","£59,970.55","£76,678.51"
1,"Sheehan, Pat","£11,420.54",£0.00,£849.96,"£71,404.28","£83,674.78"
3,"Sheerin, Emma","£8,288.51",£0.00,"£5,299.92","£81,596.58","£95,185.01"
1,"Stalford, Christopher","£14,965.11",£0.00,£849.96,"£79,141.60","£94,956.67"
1,"Stewart, John","£9,932.19",£0.00,"£3,750.00","£72,625.09","£86,307.28"
1,"Storey, Mervyn","£28,213.75",£0.00,"£2,676.96","£79,249.38","£110,140.09"
1,"Sugden, Claire","£12,686.71",£0.00,"£5,844.96","£74,699.58","£93,231.25"
1,"Swann, Robin","£17,875.48",£0.00,£999.96,"£79,436.42","£98,311.86"
1,"Weir, Peter","£11,916.26",£0.00,"£1,058.00","£82,949.77","£95,924.03"
1,"Wells, Jim","£14,954.92",£58.50,"£3,999.96","£70,222.95","£89,236.33"
1,"Woods, Rachel","£8,699.29",£0.00,"£1,149.96","£78,441.29","£88,290.54"
,Total,"£1,193,554.31","£47,210.29","£282,313.76","£6,879,949.49","£8,403,027.85"
