Name,Key ,Constituency Office Expenses(View constituency office expenses breakdown),Other Expenses(View other expenses breakdown),Allowances(View allowances breakdown),Staff costs(View staff costs breakdown),Total Expenditure
"Mallon, Nichola",2,"£1,335.90","£4,330.19","£21,274.19","£39,861.66","£66,801.94"
"Maskey, Alex",5,£0.00,£472.46,"£25,497.31","£21,566.20","£47,535.97"
"Mason, Cathy",3,"£10,400.78",£0.00,"£3,537.60","£51,272.01","£65,210.39"
"Mathison, Nick",3,"£14,389.72",£0.00,"£1,636.19","£53,223.77","£69,249.68"
"McAleer, Declan",1,"£6,008.61",£0.00,"£6,532.93","£90,538.10","£103,079.64"
"McAllister, Nuala",3,"£15,526.96",£0.00,£698.65,"£67,488.96","£83,714.57"
"McCrossan, Daniel",1,"£21,814.38",£0.00,"£6,532.93","£100,646.39","£128,993.70"
"McGlone, Patsy",1,"£13,664.74",£0.00,"£6,856.48","£92,802.48","£113,323.70"
"McGrath, Colin",1,"£17,115.58",£0.00,"£3,581.30","£99,455.04","£120,151.92"
"McGuigan, Philip",1,"£16,075.27",£0.00,"£4,430.33","£86,895.10","£107,400.70"
"McHugh, Maolíosa",1,"£6,971.40",£0.00,"£5,630.83","£83,191.16","£95,793.39"
"McIlveen, Michelle",1,"£15,146.73",£0.00,"£1,220.18","£98,403.63","£114,770.54"
"McLaughlin, Sinéad",1,"£18,303.19",£0.00,"£5,202.37","£96,697.23","£120,202.79"
"McNulty, Justin",1,"£18,083.72",£0.00,"£4,137.59","£98,218.86","£120,440.17"
"McReynolds, Peter",3,"£11,828.89",£0.00,£412.10,"£38,918.47","£51,159.46"
"Middleton, Gary",1,"£17,003.92",£0.00,"£3,485.13","£76,882.35","£97,371.40"
"Muir, Andrew",1,"£18,333.67",£0.00,"£1,025.31","£91,398.82","£110,757.80"
Murphy Áine,1,"£17,351.90",£0.00,"£6,709.89","£80,262.61","£104,324.40"
"Murphy, Conor",1,"£21,945.48",£0.00,"£2,837.85","£89,466.08","£114,249.41"
"Nesbitt, Mike",1,"£19,776.12",£0.00,"£1,708.77","£92,614.40","£114,099.29"
"Newton, Robin",5,£0.00,"£2,194.13","£25,500.00","£20,676.83","£48,370.96"
"Ni Chuilin, Caral",1,"£19,335.55",£0.00,£775.91,"£84,132.97","£104,244.43"
"Nichol, Kate",3,"£8,977.35",£0.00,£751.72,"£50,123.80","£59,852.87"
"O'Dowd, John",1,"£18,185.02",£0.00,"£1,638.60","£90,262.53","£110,086.15"
"O'Lynn, Patricia",3,"£12,728.88",£0.00,"£4,333.56","£55,156.48","£72,218.92"
"O'Neill, Michelle",1,"£10,005.74",£0.00,"£2,350.20","£94,759.44","£107,115.38"
"O'Toole, Matthew",1,"£15,932.70",£0.00,£775.91,"£98,368.07","£115,076.68"
"Poots, Edwin",1,"£18,660.23",£132.00,£506.41,"£118,943.83","£138,242.47"
"Reilly, Aisling",1,"£18,035.25",£0.00,£738.76,"£90,679.27","£109,453.28"
"Robinson, Alan",3,"£11,264.69",£0.00,"£2,508.14","£26,263.46","£40,036.29"
"Robinson, George",5,£0.00,£36.79,"£25,500.00","£44,015.60","£69,552.39"
"Rogan, Emma",5,£0.00,"£1,978.52","£17,000.00","£21,696.71","£40,675.23"
"Sheehan, Pat",1,"£7,026.44",£0.00,£775.91,"£90,517.03","£98,319.38"
"Sheerin, Emma",1,"£15,323.73",£0.00,"£4,784.06","£85,438.92","£105,546.71"
"Stalford, Christopher",4,£0.00,£790.44,£2.53,"£21,254.68","£22,047.65"
"Stewart, John",1,"£12,905.98",£0.00,"£3,389.12","£77,996.29","£94,291.39"
"Storey, Mervyn",2,"£1,376.16","£4,295.01","£25,596.77","£49,779.35","£81,047.29"
"Sugden, Claire",1,"£13,450.96",£0.00,"£4,273.79","£95,876.04","£113,600.79"
"Swann, Robin",1,"£18,528.49",£0.00,"£2,666.90","£93,539.17","£114,734.56"
"Tennyson, Eoin",3,"£15,385.79",£0.00,"£3,051.21","£68,203.88","£86,640.88"
"Weir, Peter",2,"£1,031.10","£3,814.17","£25,572.58","£46,256.39","£76,674.24"
"Wells, Jim",5,£0.00,"£3,025.18","£25,500.00","£52,154.78","£80,679.96"
"Woods, Rachel",2,£591.94,"£2,066.26","£8,524.19","£34,948.14","£46,130.53"
Total,,"£1,412,463.19","£88,495.82","£693,739.93","£8,131,063.51","£10,325,762.45"
